IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME
T03,247.02,50.37,-52.51,57.92,Vulcan
C03,248.89,58.77,-53.2,66.61,Fort Chipewyan
C04,251.74,50.06,-46.46,58.57,Gull Lake
C05,264.54,52.03,-28.88,62.52,Little Grand Rapids
C06,247.03,53.35,-53.47,60.91,Ministik Lake
C07,233.31,65.26,-76.2,69.77,Norman Wells
C10,245.79,47.66,-53.2,54.93,Polson
C08,264.92,45.87,-27.61,56.51,Osakis
C09,264.71,54.93,-29.08,65.33,Oxford House
C11,263.64,48.03,-29.69,58.5,Thief River Falls
C12,256.2,49.69,-40.44,59.03,Weyburn
C01,276.1,42.42,-11.21,53.6,Ann Arbor
T15,275.66,46.24,-11.73,57.38,Bay Mills
T16,240.2,39.19,-57.14,45.12,Carson City
T17,287.87,44.95,6.04,55.03,Derby
T18,259.32,46.09,-35.51,55.97,Fort Yates
T19,245.33,47.61,-53.73,54.77,Hot Springs
T20,281.62,40.18,-3.37,51.1,Loysburg
T21,257.41,43.08,-37.6,52.62,Pine Ridge
T22,226.84,56.83,-77.65,60.15,Petersburg
T23,274.86,43.66,-12.98,54.85,Remus
T24,271.4,44.78,-18.08,55.91,Shawano
T25,241.07,45.14,-57.9,51.35,Ukiah
T26,242.15,34.2,-53.74,40.45,San Gabriel
T27,242.32,34.38,-53.6,40.66,Table Mountain
T28,299.5,53.3,23.18,61.21,Goose Bay
T29,291.8,58.3,13.9,67.6,Kuujjuaq
T30,285.6,49.8,3.38,60.12,Chibougamau
T31,280.8,56.5,-3.35,67.11,Sanikiluaq
T32,277.7,49.4,-8.54,60.41,Kapuskasing
T33,259.1,54,-37.32,63.74,Flin Flon/The Pas
T34,249.3,64.7,-56.09,72.31,Ekati
T35,249.1,63.6,-55.59,71.25,Snap Lake
T36,246.69,54.71,-54.39,62.2,Athabasca
T37,237.2,53.8,-65.28,59.3,Prince George
T38,224.8,61,-81.93,63.9,White Horse
T39,209.8,62.3,-96.32,62.24,Trapper Creek
T40,204.4,63,-101.17,61.99,McGrath
T41,199.6,67,-107.61,65.36,Kiana
T42,254.6,55.15,-44.05,64.13,La Ronge
T43,245.7,50.9,-54.29,58.18,Priddis
IZN,29.73,40.5,102.15,35.31,Iznik
PAG,24.18,47.49,98.08,43.16,Panagjurishte
HOR,15.6,77,109.62,74.19,Hornsund
SAH,234.77,71.98,-82.65,76.24,Sachs Harbour
E01,23.86,41.35,96.72,35.99,Nevrokopi
E02,21.97,39.45,94.71,33.39,Klokotos
E03,24.1,38.63,96.59,32.51,Kimi
E04,23.93,38.08,96.36,31.76,Dionyssos
E05,22.95,36.72,95.29,29.79,Velies
BRD,260.03,49.87,-35.14,59.83,Brandon
EUA,274.1,80,-36.09,88.4,Eureka
ARS,58.57,56.43,131.76,52.36,Arti
CKI,96.84,-12.19,167.83,-22.55,Cocos-Keeling Islands
CNH,124.86,44.08,-162.48,38.23,Changchun
CYG,126.85,36.37,-160.85,30.1,Cheongyang
DLT,108.48,11.94,-179.95,4.43,Dalat
DUR,14.28,41.39,88.05,35.47,Duronia
GAN,73.15,0.69,144.66,-7.89,Gan
JAI,75.8,26.92,148.24,21.05,Jaipur
KHB,134.69,47.61,-153.11,41.36,Khabarovsk
ORC,315.26,-60.74,19.67,-47.64,Orcadas
PEG,23.9,38.1,96.34,31.78,Pedeli
PET,158.25,52.97,-133.35,46.38,Paratunka
PIL,294.47,-31.4,4.29,-18.44,Pilar
WMQ,87.71,43.81,160.08,39,Urumqi
PG1,77.2,-85.5,33.54,-76.44,Antartica
PG2,57.96,-84.42,38.99,-75.03,Antartica
PG3,37.62,-84.42,37.78,-73.13,Antartica
PG4,12.2,-83.34,36.07,-70.4,Antartica
GNG,115.71,-31.36,-173.3,-43.65,Gingin
BRZ,24.75,56.21,100.78,52.27,Birzai
SUW,23.18,54.01,98.77,50.05,Suwalki
SZC,19.61,52.91,95.36,49,Szczechowo
ZAG,20.58,50.28,95.5,46.2,Zagorzyce
